Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Denmark,AUSTRIA,VIENNA,,,,,,12,10,9,90.0%,,,,12,10,,
Denmark,BANGLADESH,DHAKA,,,,,,1586,1324,156,11.8%,9,224,14.1%,"1,586","1,333",224,14.1%
Denmark,BELGIUM,BRUSSELS,,,,,,11,9,1,11.1%,,,,11,9,,
Denmark,BULGARIA,SOFIA,,,,,,50,38,30,78.9%,,2,4.0%,50,38,2,4.0%
Denmark,BURKINA FASO,OUAGADOUGOU,,,,,,215,181,60,33.1%,,26,12.1%,215,181,26,12.1%
Denmark,CANADA,OTTAWA,,,,,,2760,2602,859,33.0%,5,57,2.1%,"2,760","2,607",57,2.1%
Denmark,CHINA,BEIJING,1,1,,,,13727,13150,2957,22.5%,1,368,2.7%,"13,728","13,152",368,2.7%
Denmark,CHINA,GUANGZHOU (CANTON),,,,,,15225,14937,2009,13.4%,1,210,1.4%,"15,225","14,938",210,1.4%
Denmark,CHINA,SHANGHAI,,,,,,17316,16487,3870,23.5%,2,428,2.5%,"17,316","16,489",428,2.5%
Denmark,DENMARK,COPENHAGEN,,,,,,750,720,226,31.4%,2,7,0.9%,750,722,7,0.9%
Denmark,EGYPT,CAIRO,1,1,,,,1790,1542,763,49.5%,1,238,13.3%,"1,791","1,544",238,13.3%
Denmark,ETHIOPIA,ADDIS ABEBA,,,,,,378,297,97,32.7%,4,70,18.5%,378,301,70,18.5%
Denmark,FINLAND,HELSINKI,,,,,,18,15,1,6.7%,,,,18,15,,
Denmark,FRANCE,PARIS,,,,,,23,19,5,26.3%,1,1,4.3%,23,20,1,4.3%
Denmark,GERMANY,BERLIN,,,,,,18,17,7,41.2%,,,,18,17,,
Denmark,GERMANY,FLENSBURG,,,,,,21,19,19,100.0%,,1,4.8%,21,19,1,4.8%
Denmark,GHANA,ACCRA,1,,,,,2705,1185,531,44.8%,,1385,51.2%,"2,706","1,185","1,385",51.2%
Denmark,GREECE,ATHENS,,,,,,3,3,1,33.3%,,,,3,3,,
Denmark,HUNGARY,BUDAPEST,,,,,,4,2,2,100.0%,1,,,4,3,,
Denmark,ICELAND,REYKJAVIK,,,,,,88,88,18,20.5%,,,,88,88,,
Denmark,INDIA,NEW DELHI,,,,,,23275,21890,18884,86.3%,1,949,4.1%,"23,275","21,891",949,4.1%
Denmark,INDONESIA,JAKARTA,5,5,5,,,4408,4369,2954,67.6%,,35,0.8%,"4,413","4,374",35,0.8%
Denmark,IRAN,TEHERAN,,,,,,2970,2012,762,37.9%,33,851,28.7%,"2,970","2,045",851,28.7%
Denmark,IRELAND,DUBLIN,,,,,,848,820,187,22.8%,,1,0.1%,848,820,1,0.1%
Denmark,ISRAEL,TEL AVIV,,,,,,308,280,58,20.7%,3,31,10.1%,308,283,31,10.1%
Denmark,ITALY,ROME,,,,,,12,7,6,85.7%,2,3,25.0%,12,9,3,25.0%
Denmark,JAPAN,TOKYO,,,,,,321,321,27,8.4%,,2,0.6%,321,321,2,0.6%
Denmark,KENYA,NAIROBI,1,1,,,,1660,1363,306,22.5%,4,203,12.2%,"1,661","1,368",203,12.2%
Denmark,LATVIA,RIGA,,,,,,10,7,1,14.3%,1,1,10.0%,10,8,1,10.0%
Denmark,LEBANON,BEIRUT,,,,,,1508,1009,495,49.1%,10,485,32.2%,"1,508","1,019",485,32.2%
Denmark,MALAYSIA,KUALA LUMPUR,1,1,1,,,440,354,136,38.4%,,76,17.3%,441,355,76,17.2%
Denmark,MALI,BAMAKO,,,,,,483,300,91,30.3%,1,150,31.1%,483,301,150,31.1%
Denmark,MEXICO,MEXICO CITY,,,,,,46,45,30,66.7%,,,,46,45,,
Denmark,MOROCCO,RABAT,,,,,,1971,1621,684,42.2%,1,296,15.0%,"1,971","1,622",296,15.0%
Denmark,NETHERLANDS,THE HAGUE,,,,,,26,26,,,,,,26,26,,
Denmark,NIGERIA,ABUJA,4,4,,,,1550,663,213,32.1%,2,807,52.1%,"1,554",669,807,51.9%
Denmark,NORWAY,OSLO,,,,,,19,18,12,66.7%,,,,19,18,,
Denmark,PAKISTAN,ISLAMABAD,,,,,,2786,1311,650,49.6%,4,1349,48.4%,"2,786","1,315","1,349",48.4%
Denmark,PHILIPPINES,MANILA,3,2,,1,33.3%,7078,6509,5219,80.2%,3,528,7.5%,"7,081","6,514",529,7.5%
Denmark,POLAND,WARSAW,,,,,,3,2,2,100.0%,,1,33.3%,3,2,1,33.3%
Denmark,PORTUGAL,LISBON,,,,,,17,15,14,93.3%,,,,17,15,,
Denmark,ROMANIA,BUCHAREST,,,,,,30,25,7,28.0%,,4,13.3%,30,25,4,13.3%
Denmark,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,9073,8898,4304,48.4%,19,106,1.2%,"9,074","8,918",106,1.2%
Denmark,SAUDI ARABIA,RIYADH,,,,,,1384,1157,687,59.4%,1,140,10.1%,"1,384","1,158",140,10.1%
Denmark,SERBIA,BELGRADE,,,,,,23,21,15,71.4%,,3,13.0%,23,21,3,13.0%
Denmark,SINGAPORE,SINGAPORE,,,,,,3472,3416,2849,83.4%,,16,0.5%,"3,472","3,416",16,0.5%
Denmark,SOUTH AFRICA,PRETORIA,,,,,,3579,3528,2532,71.8%,3,33,0.9%,"3,579","3,531",33,0.9%
Denmark,SPAIN,MADRID,,,,,,13,6,1,16.7%,,1,7.7%,13,6,1,7.7%
Denmark,SWEDEN,STOCKHOLM,1,1,,,,27,22,19,86.4%,3,3,11.1%,28,26,3,10.7%
Denmark,TAIWAN,TAIPEI,,,,,,44,42,19,45.2%,,,,44,42,,
Denmark,THAILAND,BANGKOK,,,,,,12831,12011,4574,38.1%,2,886,6.9%,"12,831","12,013",886,6.9%
Denmark,TURKEY,ANKARA,2,2,2,,,3817,3096,1887,60.9%,4,613,16.1%,"3,819","3,102",613,16.1%
Denmark,TURKEY,ISTANBUL,2,2,2,,,4059,3879,3350,86.4%,6,183,4.5%,"4,061","3,887",183,4.5%
Denmark,UKRAINE,KYIV,,,,,,477,464,282,60.8%,2,14,2.9%,477,466,14,2.9%
Denmark,UNITED ARAB EMIRATES,DUBAI,,,,,,3226,2990,2314,77.4%,5,214,6.6%,"3,226","2,995",214,6.6%
Denmark,UNITED KINGDOM,LONDON,1,1,,,,6899,6794,5532,81.4%,3,25,0.4%,"6,900","6,798",25,0.4%
Denmark,USA,"NEW YORK, NY",,,,,,5346,5023,1585,31.6%,3,17,0.3%,"5,346","5,026",17,0.3%
Denmark,VIETNAM,HANOI,,,,,,2495,2061,292,14.2%,3,420,16.8%,"2,495","2,064",420,16.8%
Estonia,AUSTRALIA,CANBERRA,,,,,,39,38,16,42.1%,,1,2.6%,39,38,1,2.6%
Estonia,BELARUS,MINSK,,,,,,12475,12387,8513,68.7%,9,79,0.6%,"12,475","12,396",79,0.6%
Estonia,CANADA,OTTAWA,,,,,,56,56,32,57.1%,,,,56,56,,
Estonia,CHINA,BEIJING,,,,,,2369,2305,507,22.0%,,64,2.7%,"2,369","2,305",64,2.7%
Estonia,EGYPT,CAIRO,,,,,,279,198,68,34.3%,7,74,26.5%,279,205,74,26.5%
Estonia,FRANCE,PARIS,,,,,,2,2,,,,,,2,2,,
Estonia,GEORGIA,TBILISSI,,,,,,88,35,23,65.7%,,53,60.2%,88,35,53,60.2%
Estonia,INDIA,NEW DELHI,,,,,,2425,1524,984,64.6%,3,898,37.0%,"2,425","1,527",898,37.0%
Estonia,IRELAND,DUBLIN,,,,,,49,49,24,49.0%,,,,49,49,,
Estonia,ISRAEL,TEL AVIV,,,,,,15,12,6,50.0%,3,,,15,15,,
Estonia,JAPAN,TOKYO,,,,,,46,45,16,35.6%,,1,2.2%,46,45,1,2.2%
Estonia,KAZAKHSTAN,ASTANA,,,,,,1869,1788,1083,60.6%,2,79,4.2%,"1,869","1,790",79,4.2%
Estonia,RUSSIAN FEDERATION,MOSCOW,,,,,,40256,39926,36259,90.8%,14,316,0.8%,"40,256","39,940",316,0.8%
Estonia,RUSSIAN FEDERATION,PSKOV,,,,,,12619,12554,12491,99.5%,,65,0.5%,"12,619","12,554",65,0.5%
Estonia,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,52800,52572,51403,97.8%,1,227,0.4%,"52,800","52,573",227,0.4%
Estonia,TURKEY,ANKARA,,,,,,1112,994,637,64.1%,6,112,10.1%,"1,112","1,000",112,10.1%
Estonia,UKRAINE,KYIV,,,,,,626,561,448,79.9%,,65,10.4%,626,561,65,10.4%
Estonia,UNITED KINGDOM,LONDON,,,,,,239,232,192,82.8%,1,6,2.5%,239,233,6,2.5%
Estonia,USA,"NEW YORK, NY",,,,,,197,187,66,35.3%,2,8,4.1%,197,189,8,4.1%
Finland,ALGERIA,ALGIERS,,,,,,1307,456,171,37.5%,,848,64.9%,"1,307",456,848,64.9%
Finland,ARGENTINA,BUENOS AIRES,,,,,,16,16,5,31.3%,,,,16,16,,
Finland,AUSTRALIA,CANBERRA,,,,,,192,190,61,32.1%,,2,1.0%,192,190,2,1.0%
Finland,BELGIUM,BRUSSELS,,,,,,5,,,,5,,,5,5,,
Finland,BULGARIA,SOFIA,,,,,,111,96,62,64.6%,7,6,5.4%,111,103,6,5.4%
Finland,CANADA,OTTAWA,,,,,,1,,,,,,,1,,,
Finland,CHILE,SANTIAGO DE CHILE,,,,,,9,6,4,66.7%,,3,33.3%,9,6,3,33.3%
Finland,CHINA,BEIJING,,,,,,24653,23207,1037,4.5%,31,1293,5.2%,"24,653","23,238","1,293",5.2%
Finland,CHINA,SHANGHAI,,,,,,14199,13749,1052,7.7%,7,406,2.9%,"14,199","13,756",406,2.9%
Finland,CROATIA,ZAGREB,,,,,,5,5,5,100.0%,,,,5,5,,
Finland,CYPRUS,NICOSIA,,,,,,172,81,32,39.5%,1,85,49.4%,172,82,85,49.4%
Finland,EGYPT,CAIRO,,,,,,985,846,291,34.4%,,131,13.3%,985,846,131,13.3%
Finland,ESTONIA,TALLINN,,,,,,4,4,4,100.0%,,,,4,4,,
Finland,ETHIOPIA,ADDIS ABEBA,,,,,,353,282,14,5.0%,4,63,17.8%,353,286,63,17.8%
Finland,FRANCE,PARIS,,,,,,1,,,,1,,,1,1,,
Finland,GERMANY,BERLIN,,,,,,2,1,,,1,,,2,2,,
Finland,GREECE,ATHENS,,,,,,3,,,,3,,,3,3,,
Finland,HONG KONG S.A.R.,HONG KONG,,,,,,1430,1381,296,21.4%,,15,1.0%,"1,430","1,381",15,1.0%
Finland,INDIA,NEW DELHI,,,,,,11959,11398,7869,69.0%,2,512,4.3%,"11,959","11,400",512,4.3%
Finland,INDONESIA,JAKARTA,,,,,,2795,2725,1128,41.4%,13,48,1.7%,"2,795","2,738",48,1.7%
Finland,IRAN,TEHERAN,,,,,,2909,2107,253,12.0%,19,741,25.5%,"2,909","2,126",741,25.5%
Finland,IRELAND,DUBLIN,,,,,,179,164,70,42.7%,,2,1.1%,179,164,2,1.1%
Finland,ISRAEL,TEL AVIV,,,,,,147,99,25,25.3%,32,14,9.5%,147,131,14,9.5%
Finland,ITALY,ROME,,,,,,1,,,,1,,,1,1,,
Finland,JAPAN,TOKYO,1,1,,,,401,373,61,16.4%,14,12,3.0%,402,388,12,3.0%
Finland,KENYA,NAIROBI,,,,,,753,593,89,15.0%,12,139,18.5%,753,605,139,18.5%
Finland,KOSOVO,PRISTINA,,,,,,3927,18,9,50.0%,2545,1348,34.3%,"3,927","2,563","1,348",34.3%
Finland,LITHUANIA,VILNIUS,,,,,,3,1,,,2,,,3,3,,
Finland,MALAYSIA,KUALA LUMPUR,,,,,,105,71,10,14.1%,6,27,25.7%,105,77,27,25.7%
Finland,MEXICO,MEXICO CITY,,,,,,13,12,5,41.7%,,,,13,12,,
Finland,MOROCCO,RABAT,,,,,,777,389,131,33.7%,1,379,48.8%,777,390,379,48.8%
Finland,MOZAMBIQUE,MAPUTO,,,,,,110,102,16,15.7%,,6,5.5%,110,102,6,5.5%
Finland,NAMIBIA,WINDHOEK,,,,,,778,749,438,58.5%,,25,3.2%,778,749,25,3.2%
Finland,NEPAL,KATHMANDU,,,,,,687,553,18,3.3%,5,124,18.0%,687,558,124,18.0%
Finland,NIGERIA,ABUJA,,,,,,788,261,39,14.9%,27,488,61.9%,788,288,488,61.9%
Finland,NORWAY,OSLO,,,,,,2,,,,2,,,2,2,,
Finland,PERU,LIMA,,,,,,7,7,5,71.4%,,,,7,7,,
Finland,POLAND,WARSAW,,,,,,2,1,,,1,,,2,2,,
Finland,ROMANIA,BUCHAREST,,,,,,16,12,8,66.7%,1,3,18.8%,16,13,3,18.8%
Finland,RUSSIAN FEDERATION,MOSCOW,,,,,,72955,71375,60777,85.2%,139,1358,1.9%,"72,955","71,514","1,358",1.9%
Finland,RUSSIAN FEDERATION,MURMANSK,,,,,,22590,22414,22232,99.2%,1,163,0.7%,"22,590","22,415",163,0.7%
Finland,RUSSIAN FEDERATION,PETROZAVODSK,,,,,,32413,32233,31835,98.8%,11,132,0.4%,"32,413","32,244",132,0.4%
Finland,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,541080,538601,536467,99.6%,58,1978,0.4%,"541,080","538,659","1,978",0.4%
Finland,SAUDI ARABIA,RIYADH,,,,,,130,130,92,70.8%,,,,130,130,,
Finland,SERBIA,BELGRADE,,,,,,14,14,10,71.4%,,,,14,14,,
Finland,SOUTH AFRICA,PRETORIA,,,,,,1420,1346,1148,85.3%,,67,4.7%,"1,420","1,346",67,4.7%
Finland,SOUTH KOREA,SEOUL,,,,,,106,83,8,9.6%,,13,12.3%,106,83,13,12.3%
Finland,SPAIN,MADRID,,,,,,11,,,,10,,,11,10,,
Finland,SWEDEN,STOCKHOLM,,,,,,1,,,,1,,,1,1,,
Finland,SWITZERLAND,BERN,,,,,,5,3,3,100.0%,2,,,5,5,,
Finland,TANZANIA,DAR ES SALAAM,,,,,,372,307,9,2.9%,1,61,16.4%,372,308,61,16.4%
Finland,THAILAND,BANGKOK,,,,,,10078,9587,489,5.1%,23,453,4.5%,"10,078","9,610",453,4.5%
Finland,TUNISIA,TUNIS,,,,,,1998,1411,242,17.2%,4,571,28.6%,"1,998","1,415",571,28.6%
Finland,TURKEY,ANKARA,,,,,,4014,2989,1942,65.0%,17,928,23.1%,"4,014","3,006",928,23.1%
Finland,UKRAINE,KYIV,3,3,,,,4784,4729,246,5.2%,8,33,0.7%,"4,787","4,740",33,0.7%
Finland,UNITED ARAB EMIRATES,ABU DHABI,,,,,,2331,1774,395,22.3%,2,541,23.2%,"2,331","1,776",541,23.2%
Finland,UNITED KINGDOM,LONDON,1,1,,,,2268,2217,672,30.3%,11,22,1.0%,"2,269","2,229",22,1.0%
Finland,USA,"LOS ANGELES, CA",,,,,,370,329,93,28.3%,,21,5.7%,370,329,21,5.7%
Finland,USA,"NEW YORK, NY",,,,,,895,791,183,23.1%,1,82,9.2%,895,792,82,9.2%
Finland,VIETNAM,HANOI,,,,,,1407,1070,61,5.7%,20,296,21.0%,"1,407","1,090",296,21.0%
France,AFGHANISTAN,KABUL,,,,,,677,656,388,59.1%,50,3,0.4%,677,706,3,0.4%
France,ALBANIA,TIRANA,,,,,,137,129,43,33.3%,1,2,1.5%,137,130,2,1.5%
France,ALGERIA,ALGIERS,435,435,,,,269542,144373,42996,29.8%,170,123565,45.8%,"269,977","144,978","123,565",45.8%
France,ALGERIA,ANNABA,,,,,,135208,70584,11852,16.8%,56,65836,48.7%,"135,208","70,640","65,836",48.7%
France,ALGERIA,ORAN,1,1,,,,139835,66006,10969,16.6%,26,75742,54.2%,"139,836","66,033","75,742",54.2%
France,ANGOLA,LUANDA,1,1,,,,2017,1225,158,12.9%,,753,37.3%,"2,018","1,226",753,37.3%
France,ARGENTINA,BUENOS AIRES,,,,,,161,152,47,30.9%,,6,3.7%,161,152,6,3.7%
France,ARMENIA,YEREVAN,1,1,,,,6591,5260,958,18.2%,2,1328,20.1%,"6,592","5,263","1,328",20.1%
France,AUSTRALIA,CANBERRA,,,,,,2,2,,,,,,2,2,,
France,AUSTRALIA,SYDNEY,,,,,,1627,1504,100,6.6%,,52,3.2%,"1,627","1,504",52,3.2%
France,AUSTRIA,VIENNA,,,,,,63,49,,,,13,20.6%,63,49,13,20.6%
France,AZERBAIJAN,BAKU,,,,,,16995,14899,4606,30.9%,,1578,9.3%,"16,995","14,899","1,578",9.3%
France,BAHRAIN,MANAMA,,,,,,8557,8336,3581,43.0%,2,185,2.2%,"8,557","8,338",185,2.2%
France,BANGLADESH,DHAKA,1,,,1,100.0%,5048,3134,311,9.9%,95,1748,34.6%,"5,049","3,229","1,749",34.6%
France,BELARUS,MINSK,2,2,,,,11813,11524,4007,34.8%,,208,1.8%,"11,815","11,526",208,1.8%
France,BELGIUM,BRUSSELS,,,,,,38,33,2,6.1%,,2,5.3%,38,33,2,5.3%
France,BENIN,COTONOU,,,,,,11229,9694,2294,23.7%,1,1401,12.5%,"11,229","9,695","1,401",12.5%
France,BOLIVIA,LA PAZ,,,,,,137,135,27,20.0%,,1,0.7%,137,135,1,0.7%
France,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,23,19,4,21.1%,,2,8.7%,23,19,2,8.7%
France,BRAZIL,BRASILIA,4,3,,,,564,508,161,31.7%,,54,9.6%,568,511,54,9.5%
France,BRAZIL,RIO DE JANEIRO,3,3,,,,219,197,16,8.1%,,14,6.4%,222,200,14,6.3%
France,BRAZIL,SAO PAULO,3,,,5,166.7%,224,169,15,8.9%,,51,22.8%,227,169,56,24.7%
France,BULGARIA,SOFIA,,,,,,270,245,5,2.0%,,15,5.6%,270,245,15,5.6%
France,BURKINA FASO,OUAGADOUGOU,,,,,,11769,9690,2993,30.9%,,1713,14.6%,"11,769","9,690","1,713",14.6%
France,BURUNDI,BUJUMBURA,,,,,,57,53,,,,2,3.5%,57,53,2,3.5%
France,CAMBODIA,PHNOM PENH,3,3,,,,7724,6610,1134,17.2%,,1020,13.2%,"7,727","6,613","1,020",13.2%
France,CAMEROON,DOUALA,7,3,,4,57.1%,8388,5650,1569,27.8%,6,2370,28.3%,"8,395","5,659","2,374",28.3%
France,CAMEROON,GAROUA,,,,,,11,9,2,22.2%,,1,9.1%,11,9,1,9.1%
France,CAMEROON,YAONDE,14,7,,6,42.9%,12576,9212,1631,17.7%,,3133,24.9%,"12,590","9,219","3,139",24.9%
France,CANADA,MONTREAL,5,5,,,,6565,5528,288,5.2%,1,739,11.3%,"6,570","5,534",739,11.2%
France,CANADA,OTTAWA,,,,,,12,11,,,,,,12,11,,
France,CANADA,TORONTO,,,,,,1289,1263,132,10.5%,,21,1.6%,"1,289","1,263",21,1.6%
France,CANADA,VANCOUVER,,,,,,1153,1142,100,8.8%,,4,0.3%,"1,153","1,142",4,0.3%
France,CENTRAL AFRICAN REPUBLIC,BANGUI,13,7,,4,30.8%,4101,2562,549,21.4%,5,1469,35.8%,"4,114","2,574","1,473",35.8%
France,CHAD,N'DJAMENA,3,,,3,100.0%,7419,5128,2699,52.6%,,2209,29.8%,"7,422","5,128","2,212",29.8%
France,CHILE,SANTIAGO DE CHILE,11,11,,,,192,149,11,7.4%,,36,18.8%,203,160,36,17.7%
France,CHINA,BEIJING,5,4,,1,20.0%,241836,226142,39297,17.4%,2,14391,6.0%,"241,841","226,148","14,392",6.0%
France,CHINA,CHENGDU,1,1,,,,78329,76503,4894,6.4%,,1373,1.8%,"78,330","76,504","1,373",1.8%
France,CHINA,GUANGZHOU (CANTON),8,7,,1,12.5%,130196,122980,23744,19.3%,1,6236,4.8%,"130,204","122,988","6,237",4.8%
France,CHINA,SHANGHAI,19,17,,2,10.5%,243836,224583,33883,15.1%,2,18025,7.4%,"243,855","224,602","18,027",7.4%
France,CHINA,SHENYANG,4,4,,,,63801,61772,2532,4.1%,,1941,3.0%,"63,805","61,776","1,941",3.0%
France,CHINA,WUHAN,1,1,,,,58721,56764,1871,3.3%,,1827,3.1%,"58,722","56,765","1,827",3.1%
France,COLOMBIA,BOGOTA,5,4,,1,20.0%,167,152,63,41.4%,,13,7.8%,172,156,14,8.1%
France,COMOROS,MORONI,,,,,,1599,970,377,38.9%,252,591,37.0%,"1,599","1,222",591,37.0%
France,COMOROS,MUTSAMUDU,,,,,,110,65,24,36.9%,5,42,38.2%,110,70,42,38.2%
France,CONGO (BRAZZAVILLE),BRAZZAVILLE,11,10,,,,8201,5731,1156,20.2%,4,2284,27.9%,"8,212","5,745","2,284",27.8%
France,CONGO (BRAZZAVILLE),POINTE NOIRE,12,10,,1,8.3%,5203,3418,831,24.3%,,1735,33.3%,"5,215","3,428","1,736",33.3%
France,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,3,3,,,,780,576,6,1.0%,,70,9.0%,783,579,70,8.9%
France,COTE D'IVOIRE,ABIDJAN ,91,73,,12,13.2%,49650,34307,8838,25.8%,12,15126,30.5%,"49,741","34,392","15,138",30.4%
France,CROATIA,ZAGREB,,,,,,161,157,67,42.7%,,2,1.2%,161,157,2,1.2%
France,CUBA,HAVANA,645,625,,14,2.2%,6276,5535,989,17.9%,,688,11.0%,"6,921","6,160",702,10.1%
France,CYPRUS,NICOSIA,,,,,,438,392,52,13.3%,,29,6.6%,438,392,29,6.6%
France,DENMARK,COPENHAGEN,,,,,,10,9,,,,,,10,9,,
France,DJIBOUTI,DJIBOUTI,,,,,,3241,2268,652,28.7%,,895,27.6%,"3,241","2,268",895,27.6%
France,DOMINICAN REPUBLIC,SANTO DOMINGO,80,60,,19,23.8%,5294,4079,624,15.3%,,1171,22.1%,"5,374","4,139","1,190",22.1%
France,ECUADOR,QUITO,2,2,,,,4994,4253,461,10.8%,,663,13.3%,"4,996","4,255",663,13.3%
France,EGYPT,CAIRO,4,4,,,,60165,45733,13514,29.5%,341,11941,19.8%,"60,169","46,078","11,941",19.8%
France,EQUATORIAL GUINEA,MALABO,,,,,,2277,1625,532,32.7%,19,601,26.4%,"2,277","1,644",601,26.4%
France,ETHIOPIA,ADDIS ABEBA,4,2,,1,25.0%,4615,3309,367,11.1%,6,1178,25.5%,"4,619","3,317","1,179",25.5%
France,FIJI,SUVA,,,,,,3,2,,,,1,33.3%,3,2,1,33.3%
France,FINLAND,HELSINKI,,,,,,1,1,,,,,,1,1,,
France,GABON,LIBREVILLE,,,,,,20640,15633,2733,17.5%,,4772,23.1%,"20,640","15,633","4,772",23.1%
France,GEORGIA,TBILISSI,,,,,,287,220,79,35.9%,1,53,18.5%,287,221,53,18.5%
France,GERMANY,BERLIN,,,,,,3,3,,,,,,3,3,,
France,GERMANY,FRANKFURT/MAIN,,,,,,34,30,5,16.7%,,,,34,30,,
France,GHANA,ACCRA,,,,,,132,128,,,,,,132,128,,
France,GREECE,ATHENS,,,,,,7,7,2,28.6%,,,,7,7,,
France,GUATEMALA,GUATEMALA CITY,,,,,,6,4,,,,,,6,4,,
France,GUINEA,CONAKRY,55,36,,16,29.1%,9855,5192,1305,25.1%,,4405,44.7%,"9,910","5,228","4,421",44.6%
France,HAITI,PORT AU PRINCE,9,8,,1,11.1%,7429,4627,649,14.0%,,2731,36.8%,"7,438","4,635","2,732",36.7%
France,HONG KONG S.A.R.,HONG KONG,6,5,,,,4300,4151,1339,32.3%,,53,1.2%,"4,306","4,156",53,1.2%
France,INDIA,BANGALORE,21,19,,1,4.8%,45048,42308,4772,11.3%,15,2362,5.2%,"45,069","42,342","2,363",5.2%
France,INDIA,KOLKATA,,,,,,18810,18120,2286,12.6%,,617,3.3%,"18,810","18,120",617,3.3%
France,INDIA,MUMBAI,43,35,,8,18.6%,69603,60962,9912,16.3%,,8171,11.7%,"69,646","60,997","8,179",11.7%
France,INDIA,NEW DELHI,30,21,,8,26.7%,71222,59861,7273,12.1%,1,10663,15.0%,"71,252","59,883","10,671",15.0%
France,INDIA,PONDICHERY,13,12,,1,7.7%,24470,22319,1895,8.5%,,1901,7.8%,"24,483","22,331","1,902",7.8%
France,INDONESIA,JAKARTA,1,,,1,100.0%,55959,54985,13027,23.7%,,777,1.4%,"55,960","54,985",778,1.4%
France,IRAN,TEHERAN,24,17,,5,20.8%,59967,41359,10060,24.3%,96,19816,33.0%,"59,991","41,472","19,821",33.0%
France,IRAQ,BAGHDAD,4,3,,,,6137,3816,760,19.9%,97,2179,35.5%,"6,141","3,916","2,179",35.5%
France,IRAQ,ERBIL,,,,,,13302,4746,802,16.9%,10,8369,62.9%,"13,302","4,756","8,369",62.9%
France,IRELAND,DUBLIN,,,,,,2173,2086,185,8.9%,4,43,2.0%,"2,173","2,090",43,2.0%
France,ISRAEL,HAIFA,,,,,,14,13,6,46.2%,,2,14.3%,14,13,2,14.3%
France,ISRAEL,JERUSALEM,4,4,,,,4159,3799,1210,31.9%,28,309,7.4%,"4,163","3,831",309,7.4%
France,ISRAEL,TEL AVIV,4,4,,,,613,577,80,13.9%,,18,2.9%,617,581,18,2.9%
France,ITALY,ROME,,,,,,38,38,6,15.8%,,,,38,38,,
France,JAPAN,TOKYO,,,,,,2753,2592,682,26.3%,2,107,3.9%,"2,753","2,594",107,3.9%
France,JORDAN,AMMAN,3,1,,1,33.3%,5547,4909,1692,34.5%,3,549,9.9%,"5,550","4,913",550,9.9%
France,KAZAKHSTAN,ALMATY,,,,,,10514,9700,2582,26.6%,,602,5.7%,"10,514","9,700",602,5.7%
France,KAZAKHSTAN,ASTANA,,,,,,66,60,16,26.7%,,,,66,60,,
France,KENYA,NAIROBI,1,1,,,,5059,4647,1141,24.6%,2,310,6.1%,"5,060","4,650",310,6.1%
France,KUWAIT,KUWAIT,,,,,,52724,50405,41998,83.3%,441,1652,3.1%,"52,724","50,846","1,652",3.1%
France,LAOS,VIENTIANE,1,1,,,,2779,2463,225,9.1%,,299,10.8%,"2,780","2,464",299,10.8%
France,LEBANON,BEIRUT,19,8,,10,52.6%,58825,52515,13200,25.1%,137,5665,9.6%,"58,844","52,660","5,675",9.6%
France,MADAGASCAR,ANTANANARIVO,1,1,,,,20630,15692,3435,21.9%,,4706,22.8%,"20,631","15,693","4,706",22.8%
France,MALAYSIA,KUALA LUMPUR,2,1,,1,50.0%,1465,1191,104,8.7%,,229,15.6%,"1,467","1,192",230,15.7%
France,MALI,BAMAKO,41,28,,9,22.0%,16968,12708,3332,26.2%,12,3730,22.0%,"17,009","12,748","3,739",22.0%
France,MALTA,VALETTA,,,,,,7,7,,,,,,7,7,,
France,MAURITANIA,NOUAKCHOTT,20,13,,7,35.0%,5085,4006,1125,28.1%,1,950,18.7%,"5,105","4,020",957,18.7%
France,MAURITIUS,PORT LOUIS,1,1,,,,878,822,297,36.1%,,17,1.9%,879,823,17,1.9%
France,MEXICO,MEXICO CITY,21,16,,,,206,174,21,12.1%,,13,6.3%,227,190,13,5.7%
France,MONACO,MONACO,,,,,,2,1,,,,1,50.0%,2,1,1,50.0%
France,MONGOLIA,ULAN BATOR,,,,,,3159,2524,369,14.6%,,610,19.3%,"3,159","2,524",610,19.3%
France,MOROCCO,AGADIR,,,,,,32692,23735,10595,44.6%,11,8672,26.5%,"32,692","23,746","8,672",26.5%
France,MOROCCO,CASABLANCA,,,,,,104809,94224,35162,37.3%,7,9066,8.7%,"104,809","94,231","9,066",8.7%
France,MOROCCO,FES,,,,,,75745,59094,19505,33.0%,7,20057,26.5%,"75,745","59,101","20,057",26.5%
