Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Czech Republic,VIETNAM,HANOI,,,,,,"1,113",661,20,3.0%,,452,40.6%,"1,113",661,452,40.6%
Denmark,AFGHANISTAN,KABUL,,,,,,47,41,8,19.5%,3,3,6.4%,47,44,3,6.4%
Denmark,AUSTRALIA,SYDNEY,,,,,,511,507,205,40.4%,,2,0.4%,511,507,2,0.4%
Denmark,AUSTRIA,VIENNA,,,,,,11,11,11,100.0%,,,,11,11,,
Denmark,BANGLADESH,DHAKA,1,,,1,100.0%,"1,265","1,100",150,13.6%,1,140,11.1%,"1,266","1,101",141,11.1%
Denmark,BELGIUM,BRUSSELS,,,,,,2,2,1,50.0%,,,,2,2,,
Denmark,BOLIVIA,LA PAZ,,,,,,107,101,50,49.5%,,6,5.6%,107,101,6,5.6%
Denmark,BULGARIA,SOFIA,,,,,,49,40,36,90.0%,,7,14.3%,49,40,7,14.3%
Denmark,BURKINA FASO,OUAGADOUGOU,,,,,,250,204,98,48.0%,,39,15.6%,250,204,39,15.6%
Denmark,CANADA,OTTAWA,1,1,,,,"2,191","2,038",377,18.5%,5,41,1.9%,"2,192","2,044",41,1.9%
Denmark,CHINA,BEIJING,2,2,1,,,"12,264","11,821","3,263",27.6%,2,421,3.4%,"12,266","11,825",421,3.4%
Denmark,CHINA,GUANGZHOU (CANTON),,,,,,"11,047","10,771","1,541",14.3%,,257,2.3%,"11,047","10,771",257,2.3%
Denmark,CHINA,SHANGHAI,,,,,,"14,532","14,750","2,634",17.9%,1,192,1.3%,"14,532","14,751",192,1.3%
Denmark,DENMARK,COPENHAGEN,1,1,,,,568,544,137,25.2%,8,1,0.2%,569,553,1,0.2%
Denmark,EGYPT,CAIRO,,1,1,,,"1,530","1,275",710,55.7%,8,175,11.4%,"1,530","1,284",175,11.4%
Denmark,ETHIOPIA,ADDIS ABEBA,,,,,,299,233,60,25.8%,1,59,19.7%,299,234,59,19.7%
Denmark,FINLAND,HELSINKI,,,,,,11,9,1,11.1%,,1,9.1%,11,9,1,9.1%
Denmark,FRANCE,PARIS,,,,,,20,20,3,15.0%,,,,20,20,,
Denmark,GERMANY,BERLIN,,,,,,15,14,3,21.4%,,,,15,14,,
Denmark,GERMANY,FLENSBURG,,,,,,29,28,27,96.4%,,,,29,28,,
Denmark,GHANA,ACCRA,16,,,15,93.8%,"2,952","1,357",580,42.7%,,"1,276",43.2%,"2,968","1,357","1,291",43.5%
Denmark,GREECE,ATHENS,,,,,,5,3,1,33.3%,,,,5,3,,
Denmark,HUNGARY,BUDAPEST,,,,,,4,3,3,100.0%,,,,4,3,,
Denmark,ICELAND,REYKJAVIK,,,,,,87,87,10,11.5%,,,,87,87,,
Denmark,INDIA,NEW DELHI,1,1,1,,,"18,723","17,921","15,767",88.0%,1,588,3.1%,"18,724","17,923",588,3.1%
Denmark,INDONESIA,JAKARTA,1,1,1,,,"4,170","4,118","2,884",70.0%,,39,0.9%,"4,171","4,119",39,0.9%
Denmark,IRAN,TEHERAN,1,1,,,,"3,109","2,402",657,27.4%,10,695,22.4%,"3,110","2,413",695,22.3%
Denmark,IRELAND,DUBLIN,2,2,,,,740,700,107,15.3%,,14,1.9%,742,702,14,1.9%
Denmark,ISRAEL,TEL AVIV,,,,,,258,208,35,16.8%,3,43,16.7%,258,211,43,16.7%
Denmark,ITALY,ROME,,,,,,7,7,7,100.0%,,,,7,7,,
Denmark,JAPAN,TOKYO,,,,,,239,235,34,14.5%,,,,239,235,,
Denmark,KENYA,NAIROBI,,,,,,"1,384","1,221",283,23.2%,1,137,9.9%,"1,384","1,222",137,9.9%
Denmark,LATVIA,RIGA,,,,,,8,8,1,12.5%,,,,8,8,,
Denmark,LEBANON,BEIRUT,,,,,,"1,514","1,018",519,51.0%,21,457,30.2%,"1,514","1,039",457,30.2%
Denmark,MALAYSIA,KUALA LUMPUR,,,,,,391,323,139,43.0%,,64,16.4%,391,323,64,16.4%
Denmark,MALI,BAMAKO,,,,,,422,309,144,46.6%,,106,25.1%,422,309,106,25.1%
Denmark,MEXICO,MEXICO CITY,,,,,,54,53,37,69.8%,,,,54,53,,
Denmark,MOROCCO,RABAT,1,1,1,,,"1,745","1,501",666,44.4%,1,234,13.4%,"1,746","1,503",234,13.4%
Denmark,NEPAL,KATHMANDU,,,,,,"1,722","1,502",394,26.2%,,169,9.8%,"1,722","1,502",169,9.8%
Denmark,NETHERLANDS,THE HAGUE,,,,,,8,7,,,,,,8,7,,
Denmark,NIGERIA,ABUJA,,,,,,"1,364",675,296,43.9%,5,654,47.9%,"1,364",680,654,47.9%
Denmark,NORWAY,OSLO,,,,,,25,24,4,16.7%,,,,25,24,,
Denmark,PAKISTAN,ISLAMABAD,,,,,,"2,072","1,173",554,47.2%,3,869,41.9%,"2,072","1,176",869,41.9%
Denmark,PHILIPPINES,MANILA,3,3,3,,,"6,543","5,988","4,677",78.1%,,544,8.3%,"6,546","5,991",544,8.3%
Denmark,POLAND,WARSAW,,,,,,5,3,,,,,,5,3,,
Denmark,PORTUGAL,LISBON,,,,,,10,10,10,100.0%,,,,10,10,,
Denmark,ROMANIA,BUCHAREST,,,,,,27,24,7,29.2%,,2,7.4%,27,24,2,7.4%
Denmark,RUSSIAN FEDERATION,MOSCOW,1,1,,,,"8,722","8,509","2,842",33.4%,5,135,1.5%,"8,723","8,515",135,1.5%
Denmark,SAUDI ARABIA,RIYADH,,,,,,"1,126",965,503,52.1%,1,105,9.3%,"1,126",966,105,9.3%
Denmark,SERBIA,BELGRADE,,,,,,30,26,15,57.7%,,1,3.3%,30,26,1,3.3%
Denmark,SINGAPORE,SINGAPORE,,,,,,"3,284","3,287","2,747",83.6%,,11,0.3%,"3,284","3,287",11,0.3%
Denmark,SOUTH AFRICA,PRETORIA,,,,,,"3,787","3,710","2,258",60.9%,2,49,1.3%,"3,787","3,712",49,1.3%
Denmark,SPAIN,MADRID,,,,,,6,6,1,16.7%,,,,6,6,,
Denmark,SWEDEN,STOCKHOLM,,,,,,10,7,6,85.7%,1,2,20.0%,10,8,2,20.0%
Denmark,TAIWAN,TAIPEI,,,,,,52,52,18,34.6%,,,,52,52,,
Denmark,THAILAND,BANGKOK,1,1,1,,,"14,340","13,460","4,449",33.1%,3,558,3.9%,"14,341","13,464",558,3.9%
Denmark,TURKEY,ANKARA,5,,,4,80.0%,"4,114","3,379","1,706",50.5%,,739,18.0%,"4,119","3,379",743,18.0%
Denmark,TURKEY,ISTANBUL,,,,,,"4,252","3,981","3,392",85.2%,1,194,4.6%,"4,252","3,982",194,4.6%
Denmark,UKRAINE,KYIV,,,,,,"3,779","3,735","1,632",43.7%,2,78,2.1%,"3,779","3,737",78,2.1%
Denmark,UNITED ARAB EMIRATES,DUBAI,2,1,1,1,50.0%,"2,770","2,591","2,055",79.3%,2,129,4.7%,"2,772","2,594",130,4.7%
Denmark,UNITED KINGDOM,LONDON,4,3,2,1,25.0%,"6,521","6,464","5,289",81.8%,4,26,0.4%,"6,525","6,471",27,0.4%
Denmark,USA,"NEW YORK, NY",,,,,,"4,862","4,674","1,438",30.8%,2,8,0.2%,"4,862","4,676",8,0.2%
Denmark,VIETNAM,HANOI,,,,,,"2,476","2,118",186,8.8%,2,315,12.7%,"2,476","2,120",315,12.7%
Estonia,AUSTRALIA,CANBERRA,,,,,,21,21,12,57.1%,,,,21,21,,
Estonia,BELARUS,MINSK,,,,,,"14,313","14,217","9,181",64.6%,13,62,0.4%,"14,313","14,230",62,0.4%
Estonia,CANADA,OTTAWA,,,,,,29,28,18,64.3%,,,,29,28,,
Estonia,CHINA,BEIJING,,,,,,"1,990","1,923",438,22.8%,1,62,3.1%,"1,990","1,924",62,3.1%
Estonia,EGYPT,CAIRO,,,,,,221,158,56,35.4%,2,60,27.1%,221,160,60,27.1%
Estonia,FRANCE,PARIS,,,,,,5,5,4,80.0%,,,,5,5,,
Estonia,GEORGIA,TBILISSI,,,,,,802,505,194,38.4%,,297,37.0%,802,505,297,37.0%
Estonia,INDIA,NEW DELHI,,,,,,"1,316",889,587,66.0%,1,419,31.8%,"1,316",890,419,31.8%
Estonia,IRELAND,DUBLIN,,,,,,77,64,40,62.5%,,12,15.6%,77,64,12,15.6%
Estonia,ISRAEL,TEL AVIV,,,,,,14,12,4,33.3%,,,,14,12,,
Estonia,JAPAN,TOKYO,,,,,,24,23,10,43.5%,,,,24,23,,
Estonia,KAZAKHSTAN,ASTANA,,,,,,"1,426","1,406",746,53.1%,,18,1.3%,"1,426","1,406",18,1.3%
Estonia,RUSSIAN FEDERATION,MOSCOW,,,,,,"38,371","38,063","34,116",89.6%,6,263,0.7%,"38,371","38,069",263,0.7%
Estonia,RUSSIAN FEDERATION,PSKOV,,,,,,"12,639","12,601","12,543",99.5%,,28,0.2%,"12,639","12,601",28,0.2%
Estonia,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"59,807","59,472","57,371",96.5%,1,252,0.4%,"59,807","59,473",252,0.4%
Estonia,SWEDEN,STOCKHOLM,,,,,,1,1,1,100.0%,,,,1,1,,
Estonia,TURKEY,ANKARA,,,,,,"1,084",993,714,71.9%,34,51,4.7%,"1,084","1,027",51,4.7%
Estonia,UKRAINE,KYIV,,,,,,"5,700","5,550","3,357",60.5%,4,141,2.5%,"5,700","5,554",141,2.5%
Estonia,UNITED KINGDOM,LONDON,,,,,,216,211,157,74.4%,3,2,0.9%,216,214,2,0.9%
Estonia,USA,"NEW YORK, NY",,,,,,193,182,128,70.3%,5,4,2.1%,193,187,4,2.1%
Finland,ALGERIA,ALGIERS,,,,,,"1,152",449,161,35.9%,,691,60.0%,"1,152",449,691,60.0%
Finland,ARGENTINA,BUENOS AIRES,,,,,,6,5,3,60.0%,,,,6,5,,
Finland,AUSTRALIA,CANBERRA,,,,,,197,188,71,37.8%,,7,3.6%,197,188,7,3.6%
Finland,BELGIUM,BRUSSELS,,,,,,7,2,2,100.0%,5,,,7,7,,
Finland,BULGARIA,SOFIA,,,,,,129,108,48,44.4%,2,15,11.6%,129,110,15,11.6%
Finland,CANADA,OTTAWA,,,,,,1,1,1,100.0%,,,,1,1,,
Finland,CHILE,SANTIAGO DE CHILE,,,,,,8,5,2,40.0%,,3,37.5%,8,5,3,37.5%
Finland,CHINA,BEIJING,1,1,,,,"22,266","21,294","1,667",7.8%,22,785,3.5%,"22,267","21,317",785,3.5%
Finland,CHINA,SHANGHAI,,,,,,"11,888","11,664",892,7.6%,9,171,1.4%,"11,888","11,673",171,1.4%
Finland,CROATIA,ZAGREB,,,,,,8,7,6,85.7%,,1,12.5%,8,7,1,12.5%
Finland,CYPRUS,NICOSIA,,,,,,172,92,31,33.7%,,78,45.3%,172,92,78,45.3%
Finland,EGYPT,CAIRO,,,,,,853,706,284,40.2%,11,128,15.0%,853,717,128,15.0%
Finland,ETHIOPIA,ADDIS ABEBA,,,,,,356,279,15,5.4%,2,58,16.3%,356,281,58,16.3%
Finland,GERMANY,BERLIN,,,,,,2,,,,,2,100.0%,2,,2,100.0%
Finland,HONG KONG S.A.R.,HONG KONG,,,,,,"1,269","1,253",245,19.6%,1,13,1.0%,"1,269","1,254",13,1.0%
Finland,INDIA,NEW DELHI,,,,,,"10,209","9,730","5,408",55.6%,2,398,3.9%,"10,209","9,732",398,3.9%
Finland,INDONESIA,JAKARTA,,,,,,"2,598","2,547",773,30.3%,12,26,1.0%,"2,598","2,559",26,1.0%
Finland,IRAN,TEHERAN,,,,,,"2,859","2,445",274,11.2%,30,254,8.9%,"2,859","2,475",254,8.9%
Finland,IRELAND,DUBLIN,,,,,,234,226,69,30.5%,,6,2.6%,234,226,6,2.6%
Finland,ISRAEL,TEL AVIV,,,,,,128,102,24,23.5%,13,13,10.2%,128,115,13,10.2%
Finland,ITALY,ROME,,,,,,2,,,,2,,,2,2,,
Finland,JAPAN,TOKYO,4,4,,,,299,292,28,9.6%,2,1,0.3%,303,298,1,0.3%
Finland,KENYA,NAIROBI,,,,,,602,469,55,11.7%,7,121,20.1%,602,476,121,20.1%
Finland,KOSOVO,PRISTINA,,,,,,"2,723",14,6,42.9%,"2,236",466,17.1%,"2,723","2,250",466,17.1%
Finland,LITHUANIA,VILNIUS,,,,,,1,,,,1,,,1,1,,
Finland,MALAYSIA,KUALA LUMPUR,,,,,,70,50,22,44.0%,8,12,17.1%,70,58,12,17.1%
Finland,MEXICO,MEXICO CITY,,,,,,16,16,5,31.3%,,,,16,16,,
Finland,MOROCCO,RABAT,,,,,,403,261,117,44.8%,1,121,30.0%,403,262,121,30.0%
Finland,MOZAMBIQUE,MAPUTO,,,,,,127,118,26,22.0%,1,8,6.3%,127,119,8,6.3%
Finland,NAMIBIA,WINDHOEK,,,,,,757,743,369,49.7%,,11,1.5%,757,743,11,1.5%
Finland,NEPAL,KATHMANDU,,,,,,573,369,3,0.8%,,198,34.6%,573,369,198,34.6%
Finland,NIGERIA,ABUJA,,,,,,877,402,43,10.7%,7,462,52.7%,877,409,462,52.7%
Finland,NORWAY,OSLO,,,,,,1,,,,,1,100.0%,1,,1,100.0%
Finland,PERU,LIMA,,,,,,6,6,2,33.3%,,,,6,6,,
Finland,POLAND,WARSAW,,,,,,3,1,,,1,1,33.3%,3,2,1,33.3%
Finland,ROMANIA,BUCHAREST,,,,,,42,40,15,37.5%,,,,42,40,,
Finland,RUSSIAN FEDERATION,MOSCOW,,,,,,"70,718","69,274","56,550",81.6%,152,"1,179",1.7%,"70,718","69,426","1,179",1.7%
Finland,RUSSIAN FEDERATION,MURMANSK,,,,,,"27,636","27,505","27,227",99.0%,12,87,0.3%,"27,636","27,517",87,0.3%
Finland,RUSSIAN FEDERATION,PETROZAVODSK,,,,,,"41,058","40,784","40,328",98.9%,21,219,0.5%,"41,058","40,805",219,0.5%
Finland,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"591,581","589,387","587,002",99.6%,89,"1,660",0.3%,"591,581","589,476","1,660",0.3%
Finland,SAUDI ARABIA,RIYADH,,,,,,70,68,61,89.7%,2,,,70,70,,
Finland,SERBIA,BELGRADE,,,,,,9,8,1,12.5%,,1,11.1%,9,8,1,11.1%
Finland,SOUTH AFRICA,PRETORIA,,,,,,"1,250","1,225",941,76.8%,1,17,1.4%,"1,250","1,226",17,1.4%
Finland,SOUTH KOREA,SEOUL,,,,,,62,48,5,10.4%,,14,22.6%,62,48,14,22.6%
Finland,SPAIN,MADRID,,,,,,10,,,,9,,,10,9,,
Finland,SWEDEN,STOCKHOLM,,,,,,2,,,,1,1,50.0%,2,1,1,50.0%
Finland,SWITZERLAND,BERN,,,,,,1,1,,,,,,1,1,,
Finland,TANZANIA,DAR ES SALAAM,,,,,,430,339,12,3.5%,4,71,16.5%,430,343,71,16.5%
Finland,THAILAND,BANGKOK,,,,,,"9,444","8,896",352,4.0%,10,504,5.3%,"9,444","8,906",504,5.3%
Finland,TUNISIA,TUNIS,,,,,,"1,856","1,391",219,15.7%,9,422,22.7%,"1,856","1,400",422,22.7%
Finland,TURKEY,ANKARA,,,,,,"4,212","3,676","3,246",88.3%,27,473,11.2%,"4,212","3,703",473,11.2%
Finland,UKRAINE,KYIV,2,2,,,,"12,493","12,334","1,522",12.3%,2,147,1.2%,"12,495","12,338",147,1.2%
Finland,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"1,162",979,355,36.3%,3,148,12.7%,"1,162",982,148,12.7%
Finland,UNITED KINGDOM,LONDON,,,,,,"2,472","2,430",805,33.1%,15,13,0.5%,"2,472","2,445",13,0.5%
Finland,USA,"LOS ANGELES, CA",,,,,,296,275,76,27.6%,1,11,3.7%,296,276,11,3.7%
Finland,USA,"NEW YORK, NY",,,,,,548,474,84,17.7%,4,57,10.4%,548,478,57,10.4%
Finland,VIETNAM,HANOI,,,,,,"1,366","1,069",106,9.9%,5,262,19.2%,"1,366","1,074",262,19.2%
France,AFGHANISTAN,KABUL,2,1,1,1,50.0%,"1,508",920,419,45.5%,43,567,37.6%,"1,510",964,568,37.6%
France,ALBANIA,TIRANA,,,,,,138,120,24,20.0%,,,,138,120,,
France,ALGERIA,ALGIERS,,,1,,,"328,475","213,865","75,174",35.2%,235,"127,615",38.9%,"328,475","214,100","127,615",38.9%
France,ALGERIA,ANNABA,,,,,,"129,571","92,479","18,551",20.1%,30,"34,618",26.7%,"129,571","92,509","34,618",26.7%
France,ALGERIA,ORAN,,,,,,"148,565","90,545","21,866",24.1%,31,"55,280",37.2%,"148,565","90,576","55,280",37.2%
France,ANGOLA,LUANDA,53,52,1,,,"1,908","1,272",79,6.2%,,634,33.2%,"1,961","1,324",634,32.3%
France,ARGENTINA,BUENOS AIRES,,,2,,,211,201,28,13.9%,,1,0.5%,211,201,1,0.5%
France,ARMENIA,YEREVAN,,1,2,,,"5,963","4,842",897,18.5%,15,"1,067",17.9%,"5,963","4,858","1,067",17.9%
France,AUSTRALIA,CANBERRA,,,,,,4,4,,,,,,4,4,,
France,AUSTRALIA,SYDNEY,3,3,1,,,"2,122","2,023",132,6.5%,1,21,1.0%,"2,125","2,027",21,1.0%
France,AUSTRIA,VIENNA,,,,,,90,81,,,1,1,1.1%,90,82,1,1.1%
France,AZERBAIJAN,BAKU,,,,,,"15,362","13,756","4,079",29.7%,,"1,334",8.7%,"15,362","13,756","1,334",8.7%
France,BAHRAIN,MANAMA,1,1,1,,,"7,963","7,758","5,701",73.5%,,129,1.6%,"7,964","7,759",129,1.6%
France,BANGLADESH,DHAKA,7,7,4,,,"5,260","3,460",426,12.3%,10,"1,726",32.8%,"5,267","3,477","1,726",32.8%
France,BELARUS,MINSK,,,,,,"13,244","12,861","4,776",37.1%,1,249,1.9%,"13,244","12,862",249,1.9%
France,BELGIUM,BRUSSELS,,,,,,49,44,2,4.5%,,2,4.1%,49,44,2,4.1%
France,BENIN,COTONOU,2,2,8,,,"10,653","8,844","1,579",17.9%,,"1,720",16.1%,"10,655","8,846","1,720",16.1%
France,BOLIVIA,LA PAZ,,,,,,315,309,128,41.4%,,,,315,309,,
France,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,37,29,9,31.0%,,1,2.7%,37,29,1,2.7%
France,BRAZIL,BRASILIA,1,1,7,,,459,390,95,24.4%,,54,11.8%,460,391,54,11.7%
France,BRAZIL,RIO DE JANEIRO,6,6,2,1,16.7%,170,139,19,13.7%,,27,15.9%,176,145,28,15.9%
France,BRAZIL,SAO PAULO,6,3,1,1,16.7%,217,195,8,4.1%,,24,11.1%,223,198,25,11.2%
France,BULGARIA,SOFIA,1,1,,,,266,259,6,2.3%,,7,2.6%,267,260,7,2.6%
France,BURKINA FASO,OUAGADOUGOU,2,1,,1,50.0%,"10,967","9,346","2,423",25.9%,1,"1,137",10.4%,"10,969","9,348","1,138",10.4%
France,BURUNDI,BUJUMBURA,,,,,,43,22,,,,21,48.8%,43,22,21,48.8%
France,CAMBODIA,PHNOM PENH,,,,,,"6,776","5,884",824,14.0%,5,821,12.1%,"6,776","5,889",821,12.1%
France,CAMEROON,DOUALA,16,7,9,8,50.0%,"9,163","5,880","1,393",23.7%,12,"2,933",32.0%,"9,179","5,899","2,941",32.0%
France,CAMEROON,YAONDE,24,23,25,,,"12,396","9,217","1,619",17.6%,,"2,995",24.2%,"12,420","9,240","2,995",24.1%
France,CANADA,MONTREAL,,,,,,"2,745","2,588",300,11.6%,3,139,5.1%,"2,745","2,591",139,5.1%
France,CANADA,OTTAWA,,,,,,54,42,,,,,,54,42,,
France,CANADA,TORONTO,,,,,,"2,449","2,356",424,18.0%,,17,0.7%,"2,449","2,356",17,0.7%
France,CANADA,VANCOUVER,,,,,,"2,432","2,388",360,15.1%,,23,0.9%,"2,432","2,388",23,0.9%
France,CENTRAL AFRICAN REPUBLIC,BANGUI,12,5,1,7,58.3%,"4,295","2,374",621,26.2%,,"1,848",43.0%,"4,307","2,379","1,855",43.1%
France,CHAD,N'DJAMENA,3,3,18,,,"7,209","5,596","3,388",60.5%,3,"1,542",21.4%,"7,212","5,602","1,542",21.4%
France,CHILE,SANTIAGO DE CHILE,5,6,5,,,278,243,20,8.2%,,31,11.2%,283,249,31,11.0%
France,CHINA,BEIJING,6,2,21,4,66.7%,"242,564","234,483","41,302",17.6%,,"7,414",3.1%,"242,570","234,485","7,418",3.1%
France,CHINA,CHENGDU,,,,,,"76,260","75,025","4,998",6.7%,,"1,087",1.4%,"76,260","75,025","1,087",1.4%
France,CHINA,GUANGZHOU (CANTON),13,9,5,3,23.1%,"118,428","111,035","19,680",17.7%,49,"7,442",6.3%,"118,441","111,093","7,445",6.3%
France,CHINA,SHANGHAI,4,2,1,1,25.0%,"230,932","218,391","36,230",16.6%,7,"11,872",5.1%,"230,936","218,400","11,873",5.1%
France,CHINA,WUHAN,1,1,,,,"60,159","58,164","1,645",2.8%,,"1,809",3.0%,"60,160","58,165","1,809",3.0%
France,COLOMBIA,BOGOTA,5,5,8,,,204,189,41,21.7%,,6,2.9%,209,194,6,2.9%
France,COMOROS,MORONI,,,,,,"4,164","2,447",647,26.4%,788,"1,512",36.3%,"4,164","3,235","1,512",36.3%
France,COMOROS,MUTSAMUDU,,,,,,128,71,10,14.1%,3,47,36.7%,128,74,47,36.7%
France,CONGO (BRAZZAVILLE),BRAZZAVILLE,34,32,26,1,2.9%,"7,271","5,233",686,13.1%,79,"1,931",26.6%,"7,305","5,344","1,932",26.4%
France,CONGO (BRAZZAVILLE),POINTE NOIRE,3,3,1,,,"5,594","3,833",624,16.3%,,"1,712",30.6%,"5,597","3,836","1,712",30.6%
France,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,1,,,699,522,57,10.9%,,31,4.4%,699,522,31,4.4%
France,COSTA RICA,SAN JOSE,,,,,,4,2,,,,,,4,2,,
France,COTE D'IVOIRE,ABIDJAN ,110,83,52,11,10.0%,"44,787","30,541","6,287",20.6%,,"13,432",30.0%,"44,897","30,624","13,443",29.9%
France,CROATIA,ZAGREB,,,,,,123,94,33,35.1%,,3,2.4%,123,94,3,2.4%
France,CUBA,HAVANA,146,144,203,,,"6,359","5,381","1,971",36.6%,,923,14.5%,"6,505","5,525",923,14.2%
France,CYPRUS,NICOSIA,,,,,,504,421,22,5.2%,,54,10.7%,504,421,54,10.7%
France,DENMARK,COPENHAGEN,,,,,,8,6,,,,,,8,6,,
France,DJIBOUTI,DJIBOUTI,3,3,2,,,"3,477","2,284",739,32.4%,,"1,128",32.4%,"3,480","2,287","1,128",32.4%
France,DOMINICAN REPUBLIC,SANTO DOMINGO,61,50,39,11,18.0%,"5,009","4,191",622,14.8%,,779,15.6%,"5,070","4,241",790,15.6%
France,ECUADOR,QUITO,,,,,,"3,823","3,201",401,12.5%,,599,15.7%,"3,823","3,201",599,15.7%
France,EGYPT,CAIRO,3,3,,,,"55,268","44,931","15,279",34.0%,563,"8,121",14.7%,"55,271","45,497","8,121",14.7%
France,EL SALVADOR,SAN SALVADOR,,,1,,,4,4,2,50.0%,,,,4,4,,
France,EQUATORIAL GUINEA,MALABO,3,2,3,1,33.3%,"2,215","1,694",642,37.9%,,395,17.8%,"2,218","1,696",396,17.9%
France,ETHIOPIA,ADDIS ABEBA,1,1,12,,,"4,150","3,587",585,16.3%,7,438,10.6%,"4,151","3,595",438,10.6%
France,FIJI,SUVA,,,,,,"1,175","1,133",520,45.9%,,15,1.3%,"1,175","1,133",15,1.3%
France,FINLAND,HELSINKI,,,,,,58,55,,,,,,58,55,,
France,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,,,,,,38,34,10,29.4%,,3,7.9%,38,34,3,7.9%
France,GABON,LIBREVILLE,2,2,5,,,"17,323","14,575","2,513",17.2%,,"2,582",14.9%,"17,325","14,577","2,582",14.9%
France,GEORGIA,TBILISSI,,,,,,"2,115","1,789",646,36.1%,,354,16.7%,"2,115","1,789",354,16.7%
France,GERMANY,BERLIN,,,,,,9,8,,,,,,9,8,,
France,GERMANY,FRANKFURT/MAIN,,,,,,38,33,5,15.2%,,4,10.5%,38,33,4,10.5%
France,GHANA,ACCRA,,,,,,27,19,,,,,,27,19,,
France,GREECE,ATHENS,,,,,,26,25,,,,1,3.8%,26,25,1,3.8%
France,GUATEMALA,GUATEMALA CITY,,,,,,39,34,3,8.8%,4,,,39,38,,
France,GUINEA,CONAKRY,90,63,347,27,30.0%,"10,111","5,838","1,442",24.7%,7,"4,166",41.2%,"10,201","5,908","4,193",41.1%
France,GUINEA-BISSAU,BISSAU,,,,,,3,3,2,66.7%,,,,3,3,,
France,HAITI,PORT AU PRINCE,10,9,1,,,"7,101","4,381",637,14.5%,,"2,520",35.5%,"7,111","4,390","2,520",35.4%
France,HONDURAS,TEGUCIGALPA,,,,,,1,1,,,,,,1,1,,
France,HONG KONG S.A.R.,HONG KONG,,,2,,,"3,823","3,713","1,724",46.4%,7,45,1.2%,"3,823","3,720",45,1.2%
France,INDIA,BANGALORE,43,38,67,2,4.7%,"40,631","38,962","4,900",12.6%,,"1,383",3.4%,"40,674","39,000","1,385",3.4%
France,INDIA,KOLKATA,5,5,,,,"15,059","14,618","1,610",11.0%,,383,2.5%,"15,064","14,623",383,2.5%
France,INDIA,MUMBAI,158,141,151,14,8.9%,"64,300","57,254","5,662",9.9%,,"6,453",10.0%,"64,458","57,395","6,467",10.0%
France,INDIA,NEW DELHI,65,44,78,21,32.3%,"64,105","53,513","8,975",16.8%,2,"10,222",15.9%,"64,170","53,559","10,243",16.0%
France,INDIA,PONDICHERY,42,23,16,18,42.9%,"17,066","15,402",926,6.0%,,"1,542",9.0%,"17,108","15,425","1,560",9.1%
France,INDONESIA,JAKARTA,,,,,,"49,868","49,540","11,293",22.8%,,443,0.9%,"49,868","49,540",443,0.9%
France,IRAN,TEHERAN,62,58,43,3,4.8%,"50,737","39,520","8,881",22.5%,176,"10,119",19.9%,"50,799","39,754","10,122",19.9%
France,IRAQ,BAGHDAD,,,,,,"5,973","4,432",893,20.1%,56,"1,273",21.3%,"5,973","4,488","1,273",21.3%
France,IRAQ,ERBIL,,,,,,"8,215","3,437",680,19.8%,5,"4,510",54.9%,"8,215","3,442","4,510",54.9%
France,IRELAND,DUBLIN,,,,,,"2,108","1,988",224,11.3%,5,64,3.0%,"2,108","1,993",64,3.0%
France,ISRAEL,JERUSALEM,,,7,,,"3,561","3,325","1,007",30.3%,22,172,4.8%,"3,561","3,347",172,4.8%
France,ISRAEL,TEL AVIV,6,4,5,,,548,512,53,10.4%,,18,3.3%,554,516,18,3.2%
France,ITALY,ROME,,,,,,101,95,4,4.2%,,3,3.0%,101,95,3,3.0%
France,JAPAN,TOKYO,,,,,,"2,636","2,513",487,19.4%,1,67,2.5%,"2,636","2,514",67,2.5%
France,JORDAN,AMMAN,27,27,8,,,"5,597","5,057","1,671",33.0%,5,482,8.6%,"5,624","5,089",482,8.6%
France,KAZAKHSTAN,ALMATY,,,,,,"10,962","10,244","1,976",19.3%,1,480,4.4%,"10,962","10,245",480,4.4%
France,KAZAKHSTAN,ASTANA,,,,,,80,70,24,34.3%,,,,80,70,,
France,KENYA,NAIROBI,1,1,1,,,"4,523","4,145",622,15.0%,,338,7.5%,"4,524","4,146",338,7.5%
France,KUWAIT,KUWAIT,,,2,,,"52,528","51,149","37,085",72.5%,238,933,1.8%,"52,528","51,387",933,1.8%
